Date,Brk,Hour,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Additional Factors,JM,JA,Cord Serial Number
,,18,168,24,-1,AF,0,,,,6593 4828
,,18,162,27,-2,AF,2,,,,6593 4828
,B/2,19,187,20,-3,AF,0,,,,6593 4828
,,19,182,22,-3,AF,0,,,,6593 4828
,,19,181,23,-3,AF,3,,,,6593 4828
,,19,171,25,-3,AF,0,,,,6593 4828
6/10/2025,B ,14,218,6,2,AF,0,,ZG,JA,6593 4828
,,14,208,9,-1,AB,2,,,,6593 4828
,,14,203,11,-4,AF,0,,,,6593 4828
,,14,200,6,2,AF,1,,,,6593 4828
,,14,175,22,W0,AF,0,,,,6593 4828
,,15,169,12,,AF,,,,,6593 4828
,,15,160,12,,BF,,,,,6593 4828
,,15,163,12,,AB,,,,,6593 4828
,B,17,182,9,,AF,,,,,6593 4828
,,17,174,24,-3,AB,0,,,,6593 4828
,,17,166,27,-3,AF,0,,,,6593 4828
6/11/2025,F,10,191,21,4,BF,5,BACKCAGE,JC,ZG,6593 4828
,,10,173,24,4,BB,1,BACKFLIPS,JC,JA,6593 4828
,B,10,191,18,2,BF,,TOPCAGE,,,6593 4828
,,10,180,15,6,BF,0,BACKCAGE,,,6593 4828
,,10,171,24,,BF,3,GAINER,,,6593 4828
,,10,173,24,2,BF,,GAINER,,,6593 4828
,,11,172,24,1,BF,,TOPCAGE,TL,JA,6593 4828
,,11,164,22,-1,AB,,TOPCAGE,,,6593 4828
,,11,192,18,1,AF,,,,,6593 4828
,,11,180,22,-3,AF,6,,,,6593 4828
,,11,174,27,-5,AF,1,,,,6593 4828
,,11,172,18,5,BB,,TOPCAGE,,,6593 4828
,B,13,172,18,,BF,,,TL,JA,6593 4828
,,13,191,21,-2,BF,,,,,6593 4828
,,13,172,18,,BF,,GAINER,,,6593 4828
,,13,159,24,,BF,,,,,6593 4828
,,13,173,24,,BF,,GAINER,,,6593 4828
,B,15,154,30,6,BF,4,FRONTFLIPS,TL,JC,6593 4828
,,15,171,35,-5,BF,3,GAINER,,,6593 4828
,,15,191,25,-5,BB,,TOPCAGE,,,6593 4828
,,15,215,6,5,BF,1,,,,6593 4828
,,15,172,35,-5,BF,3,GAINER,,,6593 4828
,B ,15,177,24,-5,AB,3,TOPCAGE,TL,JC,6593 4828
,,15,196,13,-3,AB,3,TOPCAGE,,,6593 4828
,B,16,175,24,1,BF,4,GAINER,,,6593 4828
6/12/2025,F,15,185,6,,AF,,,,,6593 4828
,,14,183,21,-2,AF,0,,,,6593 4828
,,14,175,9,,AF,,,,,6593 4828
,B,14,200,6,,AF,,,,,6593 4828
,,14,193,6,,AF,,,,,6593 4828
,,14,170,25,-3,AF,0,,,,6593 4828
,,15,169,12,,AF,,,,,6593 4828
,,15,165,12,,AF,,,,,6593 4828
,B/2,15,200,12,D0,AB,0,W2,,,6593 4828
,B,15,180,25,-5,AF,0,,,,6593 4828
6/13/2025,B,13,214,9,W0,AF,1,,ZG,RD,6593 4828
,,13,187,12,2,AF,2,,,,6593 4828
,,13,197,23,-3,BF,0,,,,6593 4828
,,13,190,15,3,AF,3,,,,6593 4828
,,13,180,23,-5,AF,3,,,,6593 4828
,B,15,180,27,-2,BF,0,,,,6593 4828
,,15,166,25,,AF,,,,,6593 4828
,,15,182,9,,AF,,,,,6593 4828
,,15,207,9,0,AF,3,,,,6593 4828
,B,16,175,20,,AF,,,,,6593 4828
,B,17,215,9,,BF,0,,,,6593 4828
,,17,171,25,-3,AF,2,,,,6593 4828
6/14/2025,F,8,207,15,2,AF,2,,ZG,MS,6593 4828
,,8,173,24,-5,AF,0,,,,6593 4828
,B,10,202,18,-6,AF,0,,,,6593 4828
,B,10,192,20,-6,AF,,,,,6593 4828
,,10,185,16,0,AF,1,,,,6593 4828
,,10,202,11,-2,AF,0,STRAIGHTDOWN,,,6593 4828
,,10,208,10,-1,AF,0,,,,6593 4828
,B,11,203,16,-5,AF,0,STRAIGHTDOWN,,,6593 4828
,,11,206,9,,BF,,,,,6593 4828
,,11,199,12,-1,AF,0,,,,6593 4828
,B,15,188,18,-5,AF,0,,,,6593 4828
,,15,177,22,-4,AF,2,,,,6593 4828
,B,16,211,13,-4,AF,0,,ZS,MAS,6593 4828
,,16,205,13,-4,BF,0,,,,6593 4828
,,16,198,16,-4,AF,4,,,,6593 4828
,,16,188,12,,AF,,,,,6593 4828
,,16,175,20,0,AF,0,,,,6593 4828
,,16,170,24,0,AF,5,,,,6593 4828
,B,18,202,15,-3,AF,0,,,,6593 4828
,,18,185,17,-3,AF,0,,,,6593 4828
,,18,177,17,-3,AF,1,,,,6593 4828
,,18,172,24,-4,AF,0,,,,6593 4828
6/15/2025,F,11,208,18,-5,AF,0,,MS,ZG,6593 4828
,,11,188,16,-1,AF,1,,,,6593 4828
,B,12,214,12,-2,AF,3,,ZS,MAS,6593 4828
,,13,175,22,-1,AF,0,BIGFLOP,,,6593 4828
,,13,174,20,1,AF,1,,,,6593 4828
,,13,201,15,-5,AF,0,,,,6593 4828
,,13,182,18,-3,AF,0,,ZS,MAS,6593 4828
,,13,176,22,-1,AF,2,,,,6593 4828
,,13,170,25,-1,AF,1,BIGFLOP,,,6593 4828
,,13,167,27,-5,AF,1,,,,6593 4828
,B,15,201,17,-1,AF,3,,,,6593 4828
,,15,191,13,1,AF,1,,,,6593 4828
,,15,188,14,3,AF,0,,,,6593 4828
,,15,187,18,-3,AF,3,CHARLIE,,,6593 4828
,,16,184,18,0,AF,0,,,,6593 4828
,B,16,209,20,,AF,0,DEADMAN,,,6593 4828
6/16/2025,F,17,172,9,,BF,,,TL,CAB,6593 4828
,,17,180,9,,,,,,,6593 4828
,,18,170,15,,AF,,,,,6593 4828
,,18,172,12,,BF,,,,,6593 4828
,B,18,179,26,-6,AF,0,,,,6593 4828
6/18/2025,F,14,199,18,0,AF,0,,ZG,MAS,6593 4828
,B,14,205,17,-5,AF,0,,,,6593 4828
,,15,204,6,3,AF,0,,,,6593 4828
,,15,200,12,1,AF,0,BIGFLOP,,,6593 4828
,B,16,199,16,0,AF,0,SMALLFLOP,ZG,MAS,6593 4828
,,16,179,6,,AF,,,,,6593 4828
,,16,179,21,1,AF,0,SMALLFLOP,,,6593 4828
,,16,174,6,,AF,,,,,6593 4828
,,16,174,24,0,AF,0,,,,6593 4828
6/19/2025,F,15,185,21,-1,AF,1,HANGING,ZG,EB,6593 4828
,,15,222,4,-1,AF,2,,,,6593 4828
,,15,186,16,-1,AF,2,,,,6593 4828
,B,15,184,20,-4,AF,0,,ZG,NB,6593 4828
6/20/2025,F,15,201,20,-5,AF,5,,,,6593 4828
,,15,186,6,,AF,,,,,6593 4828
,,15,170,21,3,AF,0,,,,6593 4828
,B,17,169,30,-4,AF,0,FLOP,,,6593 4828
,,17,204,6,,BF,,,,,6593 4828
,,17,203,6,,AF,,,,,6593 4828
,,17,195,15,0,AF,4,,,,6593 4828
,,17,193,6,,AF,,,,,6593 4828
,,17,187,16,0,AF,3,,,,6593 4828
,,18,187,16,2,AF,0,STRAIGHTDOWN,,,6593 4828
,B,18,168,29,,AF,,,,,6593 4828
,,18,169,,,,,,,,6593 4828
,B,19,202,16,,AF,,,,,6593 4828
6/21/2025,F,11,186,20,-3,AF,0,STRAIGHTDOWN,,,6593 4828
,,11,191,22,-2,BF,0,,MS,ZG,6593 4828
,,11,179,12,,AF,,,,,6593 4828
,,11,177,23,-4,AF,1,,,,6593 4828
,,12,166,24,-2,AF,1,,,,6593 4828
,B,13,208,13,-1,AF,0,,MS,RD,6593 4828
,,13,206,10,0,AF,0,,,,6593 4828
,,13,203,14,-1,AF,4,CHARLIE,,,6593 4828
,,13,193,6,,AF,,,MS,MAS,6593 4828
,,13,188,18,-1,AF,3,,,,6593 4828
,,13,187,23,-3,AF,2,,,,6593 4828
,,13,174,20,1,AF,1,,,,6593 4828
,,13,173,22,-1,AF,3,,,,6593 4828
,,13,173,21,,AF,3,,,,6593 4828
,B,14,182,22,-3,AF,2,,ZG,MAS,6593 4828
,,15,185,19,-2,AF,2,,,,6593 4828
,,15,181,21,-4,AF,2,,,,6593 4828
,,15,215,6,1,AF,0,,,,6593 4828
,,15,207,12,-2,AF,2,,,,6593 4828
,,15,202,15,-4,AF,2,CHARLIE,,,6593 4828
6/22/2025,F,11,198,6,23,AF,0,,ZG,RD,6593 4828
,,11,172,23,-1,AF,2,,,,6593 4828
,,11,189,16,,AF,,,,,6593 4828
,B/2,15,200,14,2,AF,1,FLOP,,,6593 4828
,,15,197,14,0,AF,2,,,,6593 4828
,,15,179,19,0,AF,1,,,,6593 4828
,B/2,15,170,24,0,AF,0,,,,6593 4828
,,15,202,13,-3,AF,3,,,,6593 4828
,,15,192,18,-1,AF,4,,,,6593 4828
,,15,170,24,3,BF,1,FLIPS,,,6593 4828
,B/2,15,159,28,-1,AF,2,,,,6593 4828
,B,16,214,10,-3,AF,1,,,,6593 4828
,,16,174,22,-2,AF,,,,,6593 4828
6/23/2025,F,15,213,10,-3,AF,1,,ZG,NB,6593 4828
,,15,207,9,1,AF,1,,,,6593 4828
,,15,205,11,0,AF,1,,,,6593 4828
,,15,160,28,-2,AF,4,CHARLIE,,,6593 4828
,B,15,209,14,-5,AF,0,DEADMAN,,,6593 4828
,,15,178,19,,AF,,,,,6593 4828
,,15,178,,,AF,,,,,6593 4828
,B,16,184,21,-3,AB,3,,ZS,,6593 4828
,,16,159,29,W0,AB,4,,,,6593 4828
,,16,188,14,-2,AF,1,,,,6593 4828
,,16,180,19,D0,AF,1,,,,6593 4828
,B,16,204,13,-1,AF,0,,ZS,,6593 4828
,,16,201,12,-1,AF,0,,,,6593 4828
,,16,201,13,-3,AF,0,,,,6593 4828
,,16,199,13,7,AF,,BIGFLOP SPINS,,,6593 4828
,,16,174,21,D0,AF,2,,,,6593 4828
,,16,168,25,-1,AF,0,,,,6593 4828
,,16,166,29,-4,AF,5,,,,6593 4828
,,16,163,28,-4,AF,2,,,,6593 4828
,,16,166,26,-3,AF,2,,,,6593 4828
,,16,203,12,-3,AF,1,,,,6593 4828
,B/2,17,198,14,-4,AF,1,,,,6593 4828
,,17,171,26,-6,AF,0,STRAIGHTDOWN,,,6593 4828
,,17,177,25,-4,AF,2,,,,6593 4828
,,17,166,24,-3,AB,1,,,,6593 4828
,B,18,200,6,,AF,,,,,6593 4828
,B,17,191,21,-5,AF,0,,ZG,,6593 4828
,,17,178,21,-3,AF,0,,,,6593 4828
,,17,179,22,-3,AF,0,,,,6593 4828
,,18,170,24,-2,AF,0,,,,6593 4828
,,18,168,25,,AF,,,,,6593 4828
6/24/2024,F,14,188,23,,AF,,,ZG,,6593 4828
,B/2,14,170,27,2,AF,4,,,,6593 4828
,B,15,171,12,,BF,,,,,6593 4828
,,15,168,25,D0,AF,0,SPINS,,,6593 4828
,,15,171,24,1,AF,3,,,,6593 4828
,B,16,200,17,-4,AF,0,,ZG,,6593 4828
,,16,185,18,-2,AF,0,STRAIGHTDOWN,ZG,,6593 4828
,B/2,17,165,24,4,AF,0,,,,6593 4828
,B,17,197,6,5,AF,0,STRAIGHTDOWN,,,6593 4828
,,17,189,6,,BF,0,,,,6593 4828
6/25/2024,F,13,203,12,,AF,2,,ZG,,6593 4828
,,13,200,11,D0,AF,0,,,,6593 4828
,,13,177,22,-4,AF,,,,,6593 4828
,,13,200,13,-2,AF,2,CHARLIE,,,6593 4828
,B,15,193,18,-4,AF,0,,MAS,,6593 4828
,,15,178,28,,BF,,,,,6593 4828
,B,16,189,28,-5,BF,0,FRONTFLIPS,MAS,,6593 4828
,,16,159,29,-2,AF,0,,ZG,,6593 4828
,B/2,16,195,16,-5,AF,0,STRAIGHTDOWN,,,6593 4828
,,16,177,20,-1,AF,0,,,,6593 4828
,,16,174,22,-3,AF,0,STRAIGHTDOWN,,,6593 4828
,,16,172,22,W0,AF,0,,,,6593 4828
,,16,165,31,-2,BF,0,,,,6593 4828
,B,17,182,22,-5,AF,0,STRAIGHTDOWN,,,6593 4828
,,18,190,16,-2,AF,0,,,,6593 4828
,,,169,32,-4,BF,0,,,,6593 4828
6/20/2024,F,14,207,16,,BF,,,TZ,,6593 4828
,,14,192,9,,BB,,,,,6593 4828
,,14,188,15,,BF,,,MA,,6593 4828
,,14,184,15,,BF,,,,,6593 4828
,,14,186,9,,AF,,,,,6593 4828
,,14,175,19,D0,AF,0,,TL,,6593 4828
,B,15,215,9,1,AF,2,,,,6593 4828
,,15,210,9,D0,AF,0,,,,6593 4828
,,15,187,12,2,AF,2,,,,6593 4828
,,15,184,17,-1,AF,0,,,,6593 4828
6/27/2025,F,14,188,6,,BF,,,ZG,,6593 4828
,B,14,189,6,,AB,,,,,6593 4828
,B,15,206,13,-5,AB,0,,,,6593 4828
6/28/2025,F,17,200,14,-3,AB,3,,ZG,,6593 4828
,B,17,177,20,,AF,,,,,6593 4828
,B,10,198,19,-3,AF,1,FLIPS,,,6593 4828
,,10,201,8,W0,AF,0,,,,6593 4828
,,10,199,9,-1,AF,0,STRAIGHTDOWN,,,6593 4828
,,10,194,12,-1,AF,2,,,,6593 4828
,,10,193,6,2,AF,0,,,,6593 4828
,,10,190,12,1,AF,3,,,,6593 4828
  ,,10,188,14,-3,AF,0,,ZG,,6593 4828
,,10,183,16,-3,AF,0,,,,6593 4828
,B,11,201,14,-5,AF,0,,,,6593 4828
,,11,186,6,,AF,,,,,6593 4828
,,12,174,19,,AF,,,,,6593 4828
,B,12,183,19,-2,AF,0,CLIFFHANGER,,,6593 4828
,B/2,12,173,19,-1,AB,0,,,,6593 4828
,,12,174,19,D0,AF,0,,,,6593 4828
,,12,169,12,,AF,,,,,6593 4828
,,12,163,12,,AF,,,,,6593 4828
,B,13,197,13,-2,AF,1,,TL,,6593 4828
,,13,210,7,-1,AF,0,,,,6593 4828
,,13,189,14,D0,AF,3,,,,6593 4828
,,13,179,18,-3,AF,0,,,,6593 4828
,B,14,201,12,-3,AF,1,,,,6593 4828
,,14,183,16,-3,AF,2,,,,6593 4828
,,14,171,15,,AF,,,,,6593 4828
,B,15,186,6,,AF,,,,,6593 4828
,,15,170,6,,AF,,,,,6593 4828
,B,16,205,11,-1,AF,0,,TL,,6593 4828
,,16,199,12,-2,AF,1,,,,6593 4828
,,16,183,14,W0,AF,0,,,,6593 4828
,B,16,202,13,W0,AF,3,,,,6593 4828
,,16,196,12,D0,AF,4,,,,6593 4828
,,16,188,17,-4,AF,1,,,,6593 4828
,,16,186,16,-1,AF,1,,,,6593 4828
,,16,177,18,1,AF,1,,,,6593 4828
,B,17,205,12,-4,AF,1,,,,6593 4828
,,17,186,18,-5,AF,2,,,,6593 4828
,,17,176,21,-4,AB,0,,,,6593 4828
,,17,174,20,2,AF,,,TL,,6593 4828
,B,18,206,11,-1,AF,0,,,,6593 4828
,,18,202,10,-2,AF,1,,,,6593 4828
,,18,201,11,-3,AF,1,,,,6593 4828
,,18,192,11,-1,AF,0,,,,6593 4828
,,18,181,6,,AF,,,,,6593 4828
,,18,173,23,-5,AF,0,,,,6593 4828
,B,19,213,10,-5,AF,5,,,,6593 4828
,,19,204,9,W0,AF,2,,,,6593 4828
,,19,186,15,-1,AF,1,,,,6593 4828
,,19,181,17,,AF,,,TL,,6593 4828
6/29/2025,F,9,169,6,,AF,0,,ZG,,6593 4828
,,9,167,23,,AF,2,,,,6593 4828
,B,10,208,12,-4,AF,0,,,,6593 4828
,,10,197,11,-2,AF,1,,,,6593 4828
,,10,156,12,,AF,0,,,,6593 4828
,,10,185,15,D0,AF,0,SPINS,,,6593 4828
,,10,185,17,-4,AF,1,,,,6593 4828
,,10,173,12,3,AB,0,,,,6593 4828
,,10,167,24,-3,AF,2,,,,6593 4828
,,10,205,5,3,AF,0,DEADMAN,,,6593 4828
,,10,192,6,,BF,,,,,6593 4828
,,10,181,15,-1,AB,0,,,,6593 4828
,,10,174,18,-1,AF,0,STRAIGHTDOWN,,,6593 4828
,,10,206,8,-3,AF,0,,,,6593 4828
,,11,188,13,D0,AF,0,,,,6593 4828
,,11,166,21,D0,AF,1,,,,6593 4828
,B,12,184,19,-4,AF,0,,ZG,,6593 4828
,,12,175,19,-3,AF,0,,,,6593 4828
,B,12,168,12,,AF,,,,,6593 4828
,,12,197,6,,BF,,,,,6593 4828
,,,186,14,-2,AF,0,,,,6593 4828
,,13,181,16,1,AF,3,,,,6593 4828
,,13,164,24,-2,AF,0,,,,6593 4828
,,13,162,25,-2,AF,0,FLOP,ZG,,6593 4828
,B,14,207,12,-4,AF,0,,,,6593 4828
,,14,201,4,3,AF,0,,,,6593 4828
,,14,192,14,-4,AF,2,,,,6593 4828
,,14,183,15,D0,AF,0,,,,6593 4828
,,14,178,18,W0,AB,0,DEADMAN,,,6593 4828
,,15,178,6,,AB,,,,,6593 4828
,,15,173,20,-3,AF,1,,,,6593 4828
,B,16,194,18,-5,AF,3,CHARLIE,MS,,6593 4828
,,16,196,13,D0,AF,3,CHARLIE,,,6593 4828
,,16,199,6,4,AF,0,,,,6593 4828
,,17,194,13,-4,AF,1,,,,6593 4828
,,17,182,17,-1,AF,0,DEADMAN,,,6593 4828
,,17,181,17,W0,AF,0,,,,6593 4828
,B,18,209,12,-5,AF,1,,,,6593 4828
,,18,199,11,-3,AF,1,,,,6593 4828
,,18,174,20,-5,AF,1,,,,6593 4828
,,18,173,18,D0,AF,2,,,,6593 4828
,,18,167,21,-3,AF,0,,,,6593 4828
,,19,166,21,1,AF,0,,MS,,6593 4828
,,19,161,25,-3,AF,0,STRAIGHTDOWN,,,6593 4828
6/30/2025,N,13,199,9,-5,BF,0,,ZG,,66114828
,,13,170,18,8,AF,0,,,,66114828
,B,13,212,9,5,AF,2,,ZG,,66114828
,,14,203,12,5,AF,0,,,,66114828
,,14,191,19,-2,AF,0,,,,66114828
,,14,183,22,-2,AF,1, CHARLIE FLOP,,,66114828
,,14,165,28,1,AF,0,,ZG,,66114828
,B,15,216,14,W0,AF,0,,,,66114828
,,15,213,13,-2,AF,4,CHARLIE,,,66114828
,,15,209,14,-1,AF,0,,,,66114828
,B/2,15,197,21,-3,AF,0,,,,66114828
,,16,190,19,-2,AF,1,,,,66114828
,,16,182,22,-1,AF,0,,,,66114828
,,16,182,24,-2,AF,1,,,,66114828
,,16,172,26,W0,AF,0,,,,66114828
,,17,192,19,-1,AB,0,FLOP,ZG,,66114828
,,17,185,21,-1,AF,1,,,,66114828
,B,19,217,15,-2,AF,,,,,66114828
,,19,191,6,,AF,0,,ZG,,66114828
,,19,180,25,-2,AF,1,,,,66114828
,,19,170,28,-2,AF,0,FLOP,,,66114828
7/1/2025,F,12,187,25,-3,AF,0,,,,66114828
,,12,167,4,,AF,,DEADMAN,ZG,,66114828
,,12,168,28,2,BB,,,,,66114828
,B,13,180,6,,AF,,,,,66114828
,,13,196,19,-3,AF,3,CHARLIE,,,66114828
,,13,200,17,-5,AF,0,STRAIGHTDOWN,,,66114828
,,13,200,15,-3,AF,0,,,,66114828
,,13,200,22,-5,AF,1,,,,66114828
,,14,180,25,-4,AF,3,,,,66114828
,B,15,207,18,-6,AF,1,,,,66114828
,,15,189,19,-4,AF,1,,,,66114828
,B,16,178,28,-6,AF,0,,,,66114828
,B,16,227,24,4,AF,4,,,,66114828
,,17,195,17,-1,AF,0,,ZG,,66114828
,,17,186,23,-6,AF,0,,,,66114828
,,17,176,23,D0,AF,0,,,,66114828
,B,18,183,25,-5,AF,1,,,,66114828
,,18,177,24,-4,AF,0,,,,66114828
7/2/2025,F,14,183,25,,AF,,,MAS,,66114828
,,14,227,6,0,AF,0,FLOP,,,66114828
,,14,227,7,-5,AF,0,STRAIGHTDOWN,,,66114828
,,14,198,16,-5,AF,0,STRAIGHTDOWN,,,66114828
,,14,193,15,-1,AF,0,,,,66114828
,,14,194,16,-3,AF,0,DEADMAN,,,66114828
,,15,182,20,D0,AF,0,FLOP,,,66114828
,,15,176,24,-5,AF,0,,,,66114828
,,15,170,24,W0,AF,,DEADMAN,,,66114828
,B,15,184,25,,AF,,,,,66114828
7/3/2025,F,15,184,24,D0,AF,1,,,,66114828
,,15,183,22,W0,AF,0,,MAS,,66114828
,B,17,232,9,-3,AF,0,,,,66114828
7/4/2025,F,11,206,6,10,AF,0,,,,66114828
,,11,183,22,-4,AF,1,,,,66114828
,,11,181,22,D0,AF,2,CHARLIE,,,66114828
,,11,174,25,-4,AF,0,FLOP,,,66114828
,,11,175,12,,AF,,,ZG,,66114828
,B,12,222,12,-4,AF,0,,,,66114828
,,13,212,10,-2,AF,0,,,,66114828
,,13,207,12,-2,AF,1,,,,66114828
,,13,208,12,W0,AF,2,,,,66114828
,,13,202,14,-3,AF,0,,,,66114828
,,13,181,12,,AF,,,,,66114828
,B,14,224,6,2,AF,0,FLOP,ZG,,66114828
,,14,220,7,1,AF,5,,ZG,,66114828
,,14,190,18,1,AF,4,,,,66114828
,B,15,181,20,W0,AF,1,,,,66114828
,,15,173,24,-2,AF,2,CHARLIE,,,66114828
,,15,168,12,,AB,,,,,66114828
,,15,186,23,-3,AF,,,,,66114828
,,15,203,14,-3,AF,2,,,,66114828
,,15,186,18,1,AF,1,,,,66114828
,,15,170,24,W0,AF,0,,,,66114828
,,15,188,19,1,AF,1,,,,66114828
,,16,165,27,,AF,,,,,66114828
,,16,159,24,-1,AF,1,,,,66114828
,B,17,201,18,-4,AF,0,,,,66114828
,B,17,183,23,-5,AB,0,,,,66114828
,,17,178,20,1,AF,0,,,,66114828
,,17,175,23,D0,AF,1,,,,66114828
7/5/2025,F,10,214,14,-1,AF,1,,ZS,ZG,66114828
,,10,178,22,-5,AF,2,CHARLIE,,,66114828
,,10,179,20,-1,AF,0,FLOP,,,66114828
,B ,11,220,6,2,AF,4,,ZS,RD,66114828
,,11,199,14,-3,AF,1,,,,66114828
,,11,195,6,,AF,,,,,66114828
,,11,177,6,,AF,,,,,66114828
,,11,213,9,-3,AF,0,,,,66114828
,,11,211,10,-1,AF,1,,,,66114828
,,11,205,6,3,F,5,,,,66114828
,,11,202,12,-3,AF,0,,,,66114828
,,11,198,14,-3,AF,2,,,,66114828
,,11,213,9,-3,AF,0,,,,66114828
,,11,193,14,D0,AF,1,,,,66114828
,,12,178,21,-5,AF,,,,,66114828
,,12,164,12,,AF,,,,,66114828
,Brk,13,190,20,-3,AF,0,FLOP,,,66114828
,,13,182,6,,,,,,,66114828
,,13,212,10,-4,AF,0,,,,66114828
,,13,204,12,-1,AF,0,,,,66114828
,,14,197,14,D0,AF,5,,,,66114828
,,14,190,16,,,,,,,66114828
,,14,167,23,D0,AF,0,,,,66114828
,,14,164,,,AF,,,,,66114828
,Brk,14,222,6,1,AB,1,,,,66114828
,,14,211,7.5,1,,0,,,,66114828
,,15,170,22,1,AF,1,,,,66114828
,,15,165,25,D0,,1,,,,66114828
,B,15,188,19,1,AF,0,,,,66114828
,,15,166,26,D0,AF,0,,,,66114828
,,15,186,19,-3,AF,0,,,,66114828
,,15,171,26,-5,AF,0,,,,66114828
,B,17,210,15,-4,AF,0,,MS,MAS,66114828
,,17,197,17,-3,AF,1,,,,66114828
,,17,193,17,-5,AF,0,,MS,MAS,66114828
,,17,195,14,2,AF,0,,,,66114828
,,17,190,14,4,AF,0,,,,66114828
,,17,188,18,-2,AF,0,,,,66114828
,,17,185,19,-1,AF,0,SPINS,MS,NBB,66114828
7/6/2025,F,10,215,14,-5,AF,0,,MS,RD,66114828
,,10,190,16,-1,AF,0,,,,66114828
,B,10,189,21,-5,AF,0,,,,66114828
,,10,187,18,-2,AF,0,,,,66114828
,,10,184,19,-4,AF,0,,,,66114828
,B,11,194,6,,BF,,,,,66114828
,,11,196,15,-3,AF,0,,,,66114828
,,11,195,16,-3,AF,0,CLIFFHANGER,,,66114828
,,11,195,16,D0,AF,0,,,,66114828
,,11,188,19,-4,AF,0,,,,66114828
,,11,182,6,,AF,,,,,66114828
,,11,179,20,D0,AF,0,,,,66114828
,B,12,204,15,-3,AF,2,,,,66114828
,,12,176,24,-5,AF,0,,,,66114828
,,12,169,24,D0,AF,0,,MS,RD,66114828
,B,14,214,13,-3,AF,0,,,,66114828
,,14,209,6,2,AF,0,,,,66114828
,,14,196,17,,AF,,,,,66114828
,B,14,197,17,W0,AF,3,,ZG,MAS,66114828
,B,14,178,20,1,AF,0,,,,66114828
,B,14,221,11,-2,AF,4,,,,66114828
,,14,207,11,D0,AF,1,,,,66114828
,,14,204,13,-1,AB,1,CHARLIE,,,66114828
,,14,201,14,-2,AF,3,,,,66114828
,,14,189,17,-4,AF,0,STRAIGHTDOWN,,,66114828
,,14,180,20,3,AB,2,BIGFLOP SPINS,,,66114828
,,14,179,12,,AF,,,,,66114828
,B,16,188,20,D0,AF,1,BIGFLOP,,,66114828
,B,18,209,16,-5,AF,1,,ZG,EB,66114828
,,18,184,17,2,AF,3,,,,66114828
,,18,206,11,-3,AF,0,STRAIGHTDOWN,,,66114828
,,18,192,15,-5,AF,0,,,,66114828
7/7/2025,F,14,207,15,W0,AF,2,,MAS,ZG,66114828
,,14,197,,,AF,,,,,66114828
,,14,192,14,1,AF,1,,MAS,ZG,66114828
,,14,197,12,1,AF,1,,,,66114828
,B,14,176,25,,AF,,,,,66114828
,B,16,187,22,,AF,,,,,66114828
7/8/2025,F,14,217,12,-5,AF,0,,,,66114828
,,14,216,5,1,AF,0,,,,66114828
,,,194,14,1,AF,1,,,,66114828
,,,166,25,-2,AF,0,,,,66114828
,B,16,18,20,-2,AF,0,,ZG,NBB,66114828
,,16,182,12,,AF,,,,,66114828
,,16,185,18,D0,AB,4,,,,66114828
,,16,184,18,W0,AF,2,,,,66114828
,,16,180,12,,AF,,,,,66114828
,,16,180,19,W0,AF,1,,,,66114828
,,16,184,19,D0,AF,1,,,,66114828
,B,18,24,1,1,BB,1,BACKFLIPS,,,66114828
,,18,24,,,,,,,,66114828
7/9/2025,F,14,180,6,,BF,,,TL,MAS,66114828
,B,14,181,6,,AF,,,,,66114828
,,16,178,21,D0,AF,1,,TL,MAS,66114828
,B,16,209,12,D0,AF,0,,,,66114828
,,16,177,22,-2,AF,0,,,,66114828
,B,17,208,14,-2,AF,0,,,,66114828
,,17,170,24,,BF,,,,,66114828
7/10/2025,F,14,189,22,-3,AF,0,,MAS,ZG,66114828
,,14,211,9,-3,AF ,0,,,,66114828
,,14,185,19,-4,AF ,0,,,,66114828
,,14,175,21,1,AB,0,FLOP,,,66114828
,,14,171,24,-3,AF ,0,,,,66114828
,B,14,181,24,-3,AF ,2,,,,66114828
,B,16,204,21,W0,BF,4,,,,66114828
,,16,199,13,-2,AF ,0,,,,66114828
,,16,189,6,1,AF ,5,,,,66114828
,,16,179,26,,?,,,,,66114828
,B,17,172,30,-1,BF,3,,,,66114828
,,,180,20,-2,BF,0,,,,66114828
,B,17,182,24,,BF,,RUNNING,,,66114828
,,11,176,21,W0,AF ,0,,JC,RD,66114828
,B,12,216,6,1,AF ,0,,MS,JC,66114828
,,12,209,12,-5,AF ,0,FALL,,,66114828
,B,13,202,16,-3,AF ,3,,,,66114828
,,13,201,12,W0,AF ,2,,,,66114828
,,13,190,17,W0,AF ,1,,,,66114828
,,13,182,19,-3,AF ,0,,,,66114828
,,13,181,21,-3,AF ,0,FALL,,,66114828
,,13,177,23,-2,AF ,2,,,,66114828
,,13,185,12,3,AF ,1,,,,66114828
,,14,186,18,-2,AF ,0,FALL,,,66114828
,,14,175,23,-2,AF ,2,,,,66114828
,,14,165,18,,BF,1,,,,66114828
,B,15,181,25,-4,AF ,2,,MS,MAS,66114828
,,,180,20,W0,AF ,1,SPIN,,,66114828
,,,170,25,-2,AF ,0,,,,66114828
,B,18,178,27,,AF ,,,,,66114828
,,18,212,6,2,AF ,1,,,,66114828
7/11/2025,F,14,205,6,,AF ,,,ZG,MAS,66114828
