Date,Brk,Hour,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Additional Factors,JM,JA,Cord Serial Number
,B,12,239,21,-3,AF,3,,,,6557 4834
,B,12,233,29,-3,BF,2,FRONTFLIPS,,,6557 4834
,,12,238,6,,AF,,,,,6557 4834
,,12,221,23,-1,AF,2,,,,6557 4834
,,12,212,28,-3,AF,3,CHARLIE,,,6557 4834
,,12,236,25,-2,AF,3,GAINER,,,6557 4834
,B,14,222,25,-2,AF,2,,,,6557 4834
,,14,221,22,W0,AF,2,,,,6557 4834
,,14,212,26,W0,AF,2,,,,6557 4834
,B,15,263,6,,AF,,,,,6557 4834
,,15,230,19,-1,AF,0,DEADMAN,,,6557 4834
,,15,235,18,D0,2,,,,,6557 4834
,,15,226,23,-4,AF,1,,,,6557 4834
,,15,215,24,-1,AF,2,,,,6557 4834
,,15,211,24,D0,AF,0,,,,6557 4834
,,15,203,9,,AF,,,,,6557 4834
,B,15,234,23,-1,AF,3,,,,6557 4834
8/10/2025,F,9,247,19,-1,AF,,,MS,RD,6557 4834
,B,9,220,15,,BF,,,,,6557 4834
,B,11,213,27,-2,AF,0,,,,6557 4834
,B,11,210,6,,AF,,,,,6557 4834
,B,11,233,22,-4,AF,0,,,,6557 4834
,B,12,205,12,,AF,,,,,6557 4834
,,12,223,12,,AF,,,,,6557 4834
,,12,208,6,,AF,,,,,6557 4834
,B/2,12,237,19,D0,AF,0,,,,6557 4834
8/11/2025,F,12,267,12,4,AF,0,,ZG,NB,6557 4834
,B ,12,248,19,-4,AF,1,,,,6557 4834
,B,13,232,22,-1,AF,2,,,,6557 4834
8/12/2025,F,12,249,17,1,AF,0,FLOP,ZG,NB,6557 4834
8/13/2025,F,12,241,6,,AF,,,MS,JL,6557 4834
,,13,233,12,,AF,,,,,6557 4834
,B/2,16,237,19,W0,AF,0,,,,6557 4834
8/14/2025,F,13,239,18,,AF,,,JL,RD,6557 4834
8/15/2025,F,12,237,21,2,AF,2,,TL,RD,6557 4834
,B,12,225,24,1,AF,0,,TL,NB,6557 4834
,B,14,231,6,,AF,,,,,6557 4834
,,15,218,25,-3,AF,0,,,,6557 4834
8/16/2025,F,12,226,25,W0,AF,0,,ZS,JA,6557 4834
,,12,261,14,-3,AF,4,,,,6557 4834
,,12,240,19,-3,AF,0,,ZS,RD,6557 4834
,,12,234,22,-3,AF,1,,,,6557 4834
,,12,221,15,,AF,,,,,6557 4834
,B,16,245,21,-4,AF,0,,MS,MAS,6557 4834
,,17,241,17,D0,AF,4,,,,6557 4834
,B,17,239,28,-3,BF,0,,,,6557 4834
,,17,224,23,-2,AF,0,,,,6557 4834
,,17,215,6,,AF,,,,,6557 4834
,B,19,232,28,-5,AF,3,,,,6557 4834
,,19,247,17,2,AF,0,,,,6557 4834
,,19,239,17,1,AF,1,,,,6557 4834
8/17/2025,F,12,211,6,,AF,,,OAB,ZG,6557 4834
,B,12,231,6,,AF,,,OAB,TL,6557 4834
,B,15,234,24,-4,AF,0,,TL,EB,6557 4834
,,15,220,12,,AF,,,,,6557 4834
,B,17,251,17,D0,AF,0,,MS,TL,6557 4834
,,17,240,19,-2,AF,3,,,,6557 4834
,B,17,257,16,-3,AF,2,,,,6557 4834
,,18,209,27,-3,AF,0,,,,6557 4834
,,18,235,12,,AF,,,,,6557 4834
,,18,256,15,-2,AF,1,,,,6557 4834
8/18/2025,F,12,228,24,D0,AF,1,,ZG,NB,6557 4834
,B,15,239,22,-5,AF,0,,ZG,EB,6557 4834
,,15,233,18,D0,AF,0,,,,6557 4834
,B,16,244,18,-4,AF,0,STRAIGHTDOWN,,,6557 4834
,,16,223,22,-2,AF,3,,,,6557 4834
,B,17,242,6,,AF,,,,,6557 4834
8/20/2025,F,16,229,25,-2,AF,1,,ZG,JA,6557 4834
,,16,225,20,-2,AF,1,,,,6557 4834
,,16,217,12,,AF,,,,,6557 4834
,B,16,228,23,-3,AF,0,,,,6557 4834
,,16,223,20,-2,AF,0,,,,6557 4834
,B,17,257,14,-3,AF,0,,,,6557 4834
,,17,259,9,2,AF,2,,,,6557 4834
,,17,221,6,,AF,,,,,6557 4834
,B,17,258,15,-2,AF,0,,,,6557 4834
8/22/2025,F,10,228,23,1,AB,2,,JC,EB,6557 4834
,B ,10,220,26,-5,AF,0,,,,6557 4834
,,10,217,21,2,AF,0,,,,6557 4834
,B,10,229,25,-3,AF,4,,,,6557 4834
,B,15,229,22,-2,AF,0,,TL,MAS,6557 4834
,B ,18,227,23,-4,AF,1,,TL,EB,6557 4834
8/23/2025,F,9,255,16,-3,AF,0,,,,6557 4834
,,9,223,22,-3,AF,1,,,,6557 4834
,B,10,272,15,W0,BF,0,,,,6557 4834
,,10,253,12,-1,AF,0,,,,6557 4834
,B,13,243,19,-3,AF,1,,,,6557 4834
,B,14,264,11,D0,AF,1,,,,6557 4834
,,14,210,18,,AF,,,,,6557 4834
,B,15,218,18,,AF,,,,,6557 4834
,B,15,235,21,-1,AF,0,,,,6557 4834
8/24/2025,F,9,224,25,-2,AF,3,,ZS,RD,6557 4834
,B,10,243,6,,AF,,,,,6557 4834
,B,13,225,23,W0,AF,1,,,,6557 4834
,,13,223,21,1,AF,4,,,,6557 4834
,B,16,230,12,,AF,,,,,6557 4834
8/25/2025,F,13,227,24,-2,AB,2,,,,6557 4834
,B,14,238,21,-5,AF,0,,,,6557 4834
,B,15,238,19,-1,AF,0,,,,6557 4834
,B,15,250,6,,AF,,,,,6557 4834
,,15,235,16,W0,AF,0,FLOP,,,6557 4834
,,15,222,12,,AF,,,,,6557 4834
8/26/2025,F,14,229,22,W0,AF,1,,MS,ZG,6557 4834
,B ,15,262,13,-4,AF,0,,,,6557 4834
8/27/2025,B ,12,251,15,W0,AF,0,,MAS,NB,6557 4834
8/28/2025,F,15,232,22,1,AF,0,,JL,RD,6557 4834
8/29/2025,F,15,228,23,1,AF,2,,ZG,NB,6557 4834
,B ,15,240,12,,AF,,,,,6557 4834
,,15,223,21,D0,AF,1,W2,,,6557 4834
,,16,223,21,-3,AF,0,,,,6557 4834
,,16,216,6,,AF,,,,,6557 4834
8/30/2025,F,9,249,19,-2,AF,0,,MS,RD,6557 4834
,,9,207,25,-2,AF,0,,,,6557 4834
,B ,11,227,6,,AF,,,,,6557 4834
,,11,225,5,,AF,,,,,6557 4834
,,11,244,14,D0,AB,0,,,,6557 4834
,,11,213,6,,AF,,,,,6557 4834
,,11,213,24,-1,AF,1,,,,6557 4834
,,11,211,27,-5,AF,0,,,,6557 4834
,B ,11,244,19,-1,AF,3,,,,6557 4834
,,12,244,6,,AF,,,,,6557 4834
,,12,213,27,-5,AF,0,,,,6557 4834
,,13,214,6,,AF,,,,,6557 4834
,,13,205,9,,AF,,,,,6557 4834
,,13,204,9,,AF,,,,,6557 4834
,,13,201,9,,AF,,,,,6557 4834
,B ,14,213,12,,AF,,,,,6557 4834
,,14,233,19,-4,AF,0,,,,6557 4834
,,14,226,12,,AF,,,,,6557 4834
,,14,225,20,-3,AF,0,,,,6557 4834
,,14,205,12,,AF,,,,,6557 4834
,,14,206,12,,AF,,,,,6557 4834
,B ,15,223,21,1,AF,2,,,,6557 4834
,B ,17,231,19,W0,AF,3,,,,6557 4834
,,17,217,12,,AF,,,,,6557 4834
8/31/2025,F,9,218,27,D0,AF,2,,ZS ,MS,6557 4834
,,9,215,6,,AF,,,,,6557 4834
,,9,200,18,,AF,,,,,6557 4834
,B ,10,214,29,-5,AF,2,,,,6557 4834
,,10,231,6,,AF,,,,,6557 4834
,,10,226,6,,AF,,,,,6557 4834
,,10,214,25,-5,AF,0,,,,6557 4834
,,10,213,24,-2,AF,3,,,,6557 4834
,B ,11,224,23,D0,AF,2,,,,6557 4834
,B ,12,239,6,,AF,,,,,6557 4834
,,12,215,23,-3,AF,0,,,,6557 4834
,,12,200,27,1,AF,2,,,,6557 4834
,,12,199,29,-2,AF,2,,,,6557 4834
,B ,12,230,22,-4,AF,1,,ZG,MAS,6557 4834
,B ,15,228,22,-1,AF,0,FLOP SPINS,,,6557 4834
,B ,15,271,5,,BF,0,,,,6557 4834
,,15,240,13,-1,AF,0,,,,6557 4834
,,15,253,6,,BF,,,,,6557 4834
,B ,15,240,17,D0,AF,0,FLOP  ,,,6557 4834
,,15,222,20,-3,AF,0,,,,6557 4834
,,15,216,22,-1,AF,0,,,,6557 4834
,,15,214,6,,AF,,,,,6557 4834
,B ,18,219,6,,AF,,,,,6557 4834
9/1/2025,F,9,226,6,,AF,,,,,6557 4834
,B ,11,225,6,,AF,,,,,6557 4834
,,11,203,12,,AF,,,,,6557 4834
,B ,12,251,14,D0,AF,0,,ZG,MAS,6557 4834
9/2/2025,F,12,268,6,3,AF,0,,,,6557 4834
,B ,12,269,6,,AF,,,,,6557 4834
9/4/2025,F,12,275,8,D0,AF,0,,MS,ZG,6557 4834
,,12,259,10,-1,AF,0,CLIFFHANGER,,,6557 4834
,,12,230,6,,AF,,,,,6557 4834
9/5/2025,F,15,246,17,-3,AF,0,,ZG,NB,6557 4834
,B ,16,233,18,4,AF,2,W3,,,6557 4834
9/6/2025,F,9,245,6,,AF,,,MS,RD,6557 4834
,B ,14,224,6,,AF,,,TL,ZG,6557 4834
,B ,14,249,13,W0,AF,1,,,,6557 4834
,,14,246,12,1,AF,2,,,,6557 4834
,B ,15,231,21,-1,AF,2,,ZG,MAS,6557 4834
,,15,224,19,D0,AF,3,,,,6557 4834
,,15,215,6,,BF,,,,,6557 4834
,B ,16,273,5,1,AF,,,ZG,NB,6557 4834
,B ,16,223,24,-2,AF,5,,,,6557 4834
9/7/2025,F,10,225,6,,BF,,,MS,RD,6557 4834
,,10,224,18,3,AF,0,,,,6557 4834
,B ,11,229,6,,AF,,,,,6557 4834
,,11,218,6,,AF,,,,,6557 4834
,B ,11,226,21,-3,AF,0,,,,6557 4834
,B ,14,271,6,,AF,,,,,6557 4834
,,14,206,26,-3,AF,0,,,,6557 4834
,B ,16,237,22,-5,AB,1,,,,6557 4834
9/11/2025,F,14,253,12,2,AF,1,,,,6557 4834
,,14,252,11,W0,AF,0,,,,6557 4834
,,14,230,18,W0,AF,0,DEADMAN,,,6557 4834
,B ,16,230,6,,AF,,,,,6557 4834
,,16,260,10,W0,AF,0,,,,6557 4834
9/13/2025,F,10,229,21,D0,AF,0,,,,6557 4834
,B ,10,233,22,-4,AF,0,,,,6557 4834
,,10,215,6,,BB,,,,,
